activity_id,activity_name,designation,fullName,name,parkCode,states,url
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Parks,Sequoia & Kings Canyon National Parks,Sequoia & Kings Canyon,seki,CA,https://www.nps.gov/seki/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Shenandoah National Park,Shenandoah,shen,VA,https://www.nps.gov/shen/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historical Park,Sitka National Historical Park,Sitka,sitk,AK,https://www.nps.gov/sitk/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Lakeshore,Sleeping Bear Dunes National Lakeshore,Sleeping Bear Dunes,slbe,MI,https://www.nps.gov/slbe/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Battlefield,Stones River National Battlefield,Stones River,stri,TN,https://www.nps.gov/stri/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historic Trail,Star-Spangled Banner National Historic Trail,Star-Spangled Banner,stsp,"DC,MD,VA",https://www.nps.gov/stsp/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Preserve,Tallgrass Prairie National Preserve,Tallgrass Prairie,tapr,KS,https://www.nps.gov/tapr/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,,Theodore Roosevelt Island,Theodore Roosevelt Island,this,DC,https://www.nps.gov/this/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Theodore Roosevelt National Park,Theodore Roosevelt,thro,ND,https://www.nps.gov/thro/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historic Site,Thomas Stone National Historic Site,Thomas Stone,thst,MD,https://www.nps.gov/thst/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Timpanogos Cave National Monument,Timpanogos Cave,tica,UT,https://www.nps.gov/tica/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,Ecological & Historic Preserve,Timucuan Ecological & Historic Preserve,Timucuan,timu,FL,https://www.nps.gov/timu/index.htm
